Pedigree-Information,The in-depth pedigree with funnelcode 1-2...3,,,
Generation,MemberID,Female=1/Male=2/Hermaphrodite=0,MotherID,FatherID
0,1,0,0,0
0,2,0,0,0
0,3,0,0,0
0,4,0,0,0
1,5,0,1,2
1,6,0,1,3
1,7,0,1,4
2,8,0,5,5
2,9,0,6,6
2,10,0,7,7
3,11,0,8,8
3,12,0,9,9
3,13,0,10,10
4,14,0,11,11
4,15,0,12,12
4,16,0,13,13
5,17,0,14,14
5,18,0,15,15
5,19,0,16,16
6,20,0,17,17
6,21,0,18,18
6,22,0,19,19
7,23,0,20,20
7,24,0,21,21
7,25,0,22,22
8,26,0,23,23
8,27,0,24,24
8,28,0,25,25
Pedigree-Information,The memberID and funnelcode for each sampled individual,,,
ProgenyID,MemberID,Funnelcode,,
Progeny1,26,1-2-3-4,,
Progeny2,26,1-2-3-4,,
Progeny3,26,1-2-3-4,,
Progeny4,26,1-2-3-4,,
Progeny5,26,1-2-3-4,,
Progeny6,26,1-2-3-4,,
Progeny7,26,1-2-3-4,,
Progeny8,26,1-2-3-4,,
Progeny9,26,1-2-3-4,,
Progeny10,26,1-2-3-4,,
Progeny11,26,1-2-3-4,,
Progeny12,26,1-2-3-4,,
Progeny13,26,1-2-3-4,,
Progeny14,26,1-2-3-4,,
Progeny15,26,1-2-3-4,,
Progeny16,26,1-2-3-4,,
Progeny17,26,1-2-3-4,,
Progeny18,26,1-2-3-4,,
Progeny19,26,1-2-3-4,,
Progeny20,26,1-2-3-4,,
Progeny21,26,1-2-3-4,,
Progeny22,26,1-2-3-4,,
Progeny23,26,1-2-3-4,,
Progeny24,26,1-2-3-4,,
Progeny25,26,1-2-3-4,,
Progeny26,26,1-2-3-4,,
Progeny27,26,1-2-3-4,,
Progeny28,26,1-2-3-4,,
Progeny29,26,1-2-3-4,,
Progeny30,26,1-2-3-4,,
Progeny31,26,1-2-3-4,,
Progeny32,26,1-2-3-4,,
Progeny33,26,1-2-3-4,,
Progeny34,26,1-2-3-4,,
Progeny35,26,1-2-3-4,,
Progeny36,26,1-2-3-4,,
Progeny37,26,1-2-3-4,,
Progeny38,26,1-2-3-4,,
Progeny39,26,1-2-3-4,,
Progeny40,26,1-2-3-4,,
Progeny41,26,1-2-3-4,,
Progeny42,26,1-2-3-4,,
Progeny43,26,1-2-3-4,,
Progeny44,26,1-2-3-4,,
Progeny45,26,1-2-3-4,,
Progeny46,26,1-2-3-4,,
Progeny47,26,1-2-3-4,,
Progeny48,26,1-2-3-4,,
Progeny49,26,1-2-3-4,,
Progeny50,26,1-2-3-4,,
Progeny51,26,1-2-3-4,,
Progeny52,26,1-2-3-4,,
Progeny53,26,1-2-3-4,,
Progeny54,26,1-2-3-4,,
Progeny55,26,1-2-3-4,,
Progeny56,26,1-2-3-4,,
Progeny57,26,1-2-3-4,,
Progeny58,26,1-2-3-4,,
Progeny59,26,1-2-3-4,,
Progeny60,26,1-2-3-4,,
Progeny61,26,1-2-3-4,,
Progeny62,26,1-2-3-4,,
Progeny63,26,1-2-3-4,,
Progeny64,26,1-2-3-4,,
